*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-06 18:48:11:347644" "Robot State: Introduce Nao Started"
"2017-06-06 18:48:13:959107" "Robot State: Introduce Nao Ended"
"2017-06-06 18:48:15:564500" "Robot State: Looking at The Book"
"2017-06-06 18:48:16:688519" "Robot State: TaskONE Selected"
"2017-06-06 18:48:17:901923" "Robot State: Looking at The Book"
"2017-06-06 18:48:18:428735" "Robot State: TaskONE Selected"
"2017-06-06 18:48:18:429452" "Robot State: TaskONE Selected"
"2017-06-06 18:48:18:955312" "Robot State: TaskONE Selected"
"2017-06-06 18:48:19:686897" "Robot State: TaskONE Selected"
"2017-06-06 18:48:20:478663" "Robot State: TaskONE Selected"
"2017-06-06 18:48:20:810615" "Robot State: Reading Mode Started"
"2017-06-06 18:48:21:271548" "Robot State: TaskONE Selected"
"2017-06-06 18:48:22:092844" "Robot State: TaskONE Selected"
"2017-06-06 18:48:22:858211" "Robot State: TaskONE Selected"
"2017-06-06 18:48:23:682891" "Robot State: TaskONE Selected"
"2017-06-06 18:48:24:484586" "Robot State: TaskONE Selected"
"2017-06-06 18:48:25:249351" "Robot State: TaskONE Selected"
