*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2017-06-14 18:20:14:817825" "Robot State: ,Introduce Nao Started"
"2017-06-14 18:20:16:742507" "Robot State: ,Idle Mode Reaction Started"
"2017-06-14 18:20:17:808228" "Robot State: ,Looking at The Book"
"2017-06-14 18:20:20:627351" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-14 18:20:20:627540" "Robot State: ,Introduce Nao Ended"
"2017-06-14 18:20:26:287620" "Robot State: ,Looking at The Book"
"2017-06-14 18:21:01:237733" "Robot State: ,Idle Mode Reaction Started"
"2017-06-14 18:21:01:743323" "Robot State: ,Idle Mode Reaction Started"
"2017-06-14 18:21:12:807860" "Robot State: ,Looking at The Book"
"2017-06-14 18:21:15:654805" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-14 18:21:24:508535" "Robot State: ,Looking at The Book"
"2017-06-14 18:21:27:218760" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-14 18:21:46:238785" "Robot State: ,Idle Mode Reaction Started"
"2017-06-14 18:21:46:743649" "Robot State: ,Idle Mode Reaction Started"
"2017-06-14 18:22:02:366720" "Robot State: ,Looking at The Book"
"2017-06-14 18:22:03:371661" "Robot State: ,Looking at The Book"
"2017-06-14 18:22:05:091229" "Robot State: ,Idle Mode Reaction Ended"
"2017-06-14 18:22:08:897421" "Robot State: ,Idle Mode Reaction Ended"
